timestamp_s,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16
300,0.01952,0.09160,0.11136,-0.30920,-0.47568,0.02198,0.07275,0.06961,0.07979,0.01601,-0.12033,-0.19115,0.18676,0.24458,-0.05380,-0.02901
600,0.00748,0.29882,0.69910,0.78051,0.68744,0.40514,0.06861,-0.15926,-0.16982,-0.14849,-0.01192,-0.06224,-0.12643,-0.34906,-0.49413,-0.38758
900,0.00746,0.19542,0.31566,0.38423,0.31515,0.06833,-0.10557,-0.21264,-0.25146,-0.17101,-0.20215,-0.11633,-0.16656,0.16753,0.28052,0.41766
1200,0.09175,0.77368,0.35720,0.15189,-0.12437,-0.62432,-0.31511,-0.33031,-0.24457,0.06780,-0.17033,-0.14131,0.13719,-0.17107,0.02460,-0.10873
1500,0.29301,0.69587,0.01029,-0.52280,-0.59402,-0.29171,0.34542,0.15919,-0.23757,0.02609,-0.04806,0.07202,0.23537,-0.12708,0.14717,0.25502
1800,0.12824,0.42191,0.25925,-0.03736,-0.27814,-0.17951,-0.22339,0.00785,-0.00463,-0.12730,-0.42453,-0.48520,-0.27913,-0.03601,0.07876,-0.09420
2100,0.10658,0.48221,0.54962,0.30047,-0.25313,-0.50173,-0.41409,-0.01595,0.50138,0.55131,0.26840,-0.13637,-0.32653,-0.37559,-0.08767,-0.03432
2400,0.00327,0.37342,0.56519,0.34666,-0.00920,-0.27098,-0.17262,-0.03431,-0.14000,-0.02861,0.14584,0.36949,0.36016,0.23688,0.18149,0.37124
2700,0.17903,0.63683,0.16645,-0.12038,-0.42779,-0.81169,-0.32631,-0.04171,-0.01720,0.42823,0.02920,-0.03517,-0.06806,-0.43781,-0.20397,-0.00825
3000,0.19266,0.41526,0.71787,0.65417,0.32896,0.00648,-0.43800,-0.49862,-0.34609,-0.07417,0.31003,0.58199,0.66774,0.58806,0.42584,-0.07804
