timestamp_s,rpm,u1_suction_pct,u2_circ_pct,u3_inlet_pct,y1_Q_Nm3h,y2_dP_kPa,y3_eta_pct,label
300,6500,40,60,50,1861.00,74.496,77.03,warm-up A
600,7000,55,40,60,4695.11,85.699,74.50,low-Q point
900,7200,70,25,70,7367.55,89.295,59.72,mid-Q point
1200,7500,80,15,80,9842.61,95.708,40.35,high-Q point
1500,7800,90,10,85,12232.93,101.626,39.78,near-design
1800,7800,65,35,60,7080.57,105.740,66.03,recirc test
2100,7500,50,50,50,3987.88,98.771,77.55,balanced
2400,7300,75,20,75,8336.70,91.117,50.79,surge margin test
2700,7600,85,12,82,10910.01,97.163,40.11,high-η search
3000,7400,60,45,55,5271.29,96.334,73.43,verification
