t_s,rpm,u1_suction,u2_circ,u3_inlet,Q_Nm3h,p_disch_kPa,T_disch_C,p_suction_kPa,T_suction_C,vib_um
0,6000,0.0,100.0,0.0,571.9,164.75,34.42,101.53,23.69,4.95
1,6002,0.2,99.8,0.2,565.8,164.92,35.69,101.57,25.42,5.46
2,6005,0.4,99.6,0.5,570.6,165.36,37.22,101.35,25.32,5.91
3,6007,0.6,99.4,0.7,581.6,164.66,36.85,101.05,24.77,5.39
4,6010,0.8,99.2,1.0,573.5,164.52,38.59,100.97,25.38,5.85
5,6012,1.0,99.0,1.2,561.0,165.77,35.16,101.87,24.29,6.13
6,6014,1.1,98.9,1.4,582.9,165.37,37.23,101.31,24.84,5.92
7,6017,1.3,98.7,1.7,566.9,165.39,35.25,101.55,24.72,6.15
8,6019,1.5,98.5,1.9,564.4,165.57,35.82,101.27,24.64,4.49
9,6021,1.7,98.3,2.1,572.0,165.33,37.12,101.07,25.60,5.76
10,6024,1.9,98.1,2.4,573.7,166.18,35.48,101.73,25.14,6.16
11,6026,2.1,97.9,2.6,572.6,166.01,37.11,101.79,25.98,6.59
12,6029,2.3,97.7,2.9,576.3,165.04,38.20,101.09,24.92,6.13
13,6031,2.5,97.5,3.1,572.8,164.89,36.20,100.35,25.28,5.28
14,6033,2.7,97.3,3.3,571.2,166.06,38.01,101.99,24.79,5.40
15,6036,2.9,97.1,3.6,573.8,165.40,35.26,101.34,25.11,6.21
16,6038,3.0,97.0,3.8,576.1,166.78,35.73,102.21,25.68,5.62
17,6040,3.2,96.8,4.0,578.7,166.03,37.82,102.00,25.50,6.62
18,6043,3.4,96.6,4.3,586.7,165.75,36.24,101.32,24.38,5.60
19,6045,3.6,96.4,4.5,580.3,165.79,35.38,101.06,24.22,5.88
20,6048,3.8,96.2,4.8,578.8,166.55,36.63,101.88,24.44,6.05
21,6050,4.0,96.0,5.0,580.0,166.10,37.54,101.02,25.04,6.51
22,6052,4.2,95.8,5.2,585.5,166.85,36.43,101.41,25.12,5.83
23,6055,4.4,95.6,5.5,579.1,166.34,36.65,101.35,25.60,4.74
24,6057,4.6,95.4,5.7,580.8,166.10,37.84,101.39,25.44,5.19
25,6060,4.8,95.2,6.0,581.3,165.72,36.86,101.22,25.23,5.35
26,6062,5.0,95.0,6.2,580.9,166.31,38.12,101.50,25.20,5.38
27,6064,5.1,94.9,6.4,578.6,167.02,36.61,101.30,24.07,5.64
28,6067,5.3,94.7,6.7,576.8,167.15,37.31,102.06,26.12,6.04
29,6069,5.5,94.5,6.9,591.7,166.19,36.83,101.02,24.86,4.58
30,6071,5.7,94.3,7.1,575.5,166.95,36.58,101.23,24.50,7.76
31,6074,5.9,94.1,7.4,579.5,165.79,37.81,100.70,25.24,6.64
32,6076,6.1,93.9,7.6,581.3,165.83,37.93,100.66,25.62,4.71
33,6079,6.3,93.7,7.9,577.0,167.85,37.42,101.86,25.28,5.15
34,6081,6.5,93.5,8.1,577.8,166.87,36.49,101.32,25.29,5.21
35,6083,6.7,93.3,8.3,591.7,166.48,35.23,100.84,23.84,6.19
36,6086,6.9,93.1,8.6,592.2,167.13,35.70,101.33,24.80,5.52
37,6088,7.0,93.0,8.8,585.5,167.40,38.43,101.70,26.67,6.31
38,6090,7.2,92.8,9.0,586.7,167.51,35.88,101.21,25.75,5.71
39,6093,7.4,92.6,9.3,584.1,166.87,33.40,101.61,23.87,5.92
40,6095,7.6,92.4,9.5,587.3,166.92,33.79,101.44,24.39,6.17
41,6098,7.8,92.2,9.8,581.7,167.70,38.36,101.70,24.90,5.91
42,6100,8.0,92.0,10.0,583.9,166.73,35.95,101.09,23.92,6.15
43,6102,8.2,91.8,10.2,583.0,166.99,37.76,101.01,25.86,5.71
44,6105,8.4,91.6,10.5,592.5,166.81,36.88,101.27,24.94,7.13
45,6107,8.6,91.4,10.7,589.9,167.47,35.84,101.71,25.33,6.22
46,6110,8.8,91.2,11.0,585.5,167.61,34.88,100.99,25.28,6.38
47,6112,9.0,91.0,11.2,592.9,167.51,34.64,101.30,25.20,5.36
48,6114,9.1,90.9,11.4,577.5,168.51,35.34,101.82,25.90,6.53
49,6117,9.3,90.7,11.7,578.1,168.19,38.75,101.95,24.43,6.47
50,6119,9.5,90.5,11.9,581.3,167.42,36.42,101.42,25.06,6.92
51,6121,9.7,90.3,12.1,586.1,168.25,36.77,101.43,24.59,6.23
52,6124,9.9,90.1,12.4,589.6,167.92,38.58,101.56,24.53,6.59
53,6126,10.1,89.9,12.6,590.0,167.19,37.39,101.05,25.62,6.41
54,6129,10.3,89.7,12.9,595.5,167.94,37.12,101.55,25.38,6.64
55,6131,10.5,89.5,13.1,597.1,167.48,35.61,101.25,24.53,5.56
56,6133,10.7,89.3,13.3,590.2,168.29,38.14,101.28,26.14,5.24
57,6136,10.9,89.1,13.6,588.4,167.41,37.20,101.27,24.87,5.90
58,6138,11.0,89.0,13.8,599.0,168.17,35.92,101.00,24.92,5.97
59,6140,11.2,88.8,14.0,590.6,167.86,38.27,101.03,25.36,7.04
60,6143,11.4,88.6,14.3,594.3,168.26,38.25,101.75,24.80,6.71
61,6145,11.6,88.4,14.5,596.2,167.78,35.60,100.82,24.68,5.84
62,6148,11.8,88.2,14.8,598.9,167.40,36.42,100.45,25.09,6.86
63,6150,12.0,88.0,15.0,591.9,167.75,35.57,101.06,25.35,6.05
64,6152,12.2,87.8,15.2,594.3,168.34,38.43,101.33,25.02,6.40
65,6155,12.4,87.6,15.5,596.8,168.03,39.06,100.82,25.26,5.83
66,6157,12.6,87.4,15.7,601.0,168.30,35.02,101.28,25.01,6.78
67,6160,12.8,87.2,16.0,609.1,169.53,36.88,101.75,24.84,6.30
68,6162,13.0,87.0,16.2,589.7,167.91,33.25,100.61,24.26,5.10
69,6164,13.1,86.9,16.4,591.9,168.67,35.59,101.73,24.89,6.69
70,6167,13.3,86.7,16.7,607.4,168.79,36.87,101.83,24.62,6.35
71,6169,13.5,86.5,16.9,601.7,168.30,36.15,101.35,24.72,6.78
72,6171,13.7,86.3,17.1,609.0,168.88,36.70,101.25,24.74,6.47
73,6174,13.9,86.1,17.4,602.4,168.57,37.43,101.26,24.48,6.02
74,6176,14.1,85.9,17.6,592.7,168.32,35.55,100.54,24.33,7.02
75,6179,14.3,85.7,17.9,589.4,168.81,38.27,101.27,24.50,7.29
76,6181,14.5,85.5,18.1,605.9,168.53,36.04,100.72,24.35,6.48
77,6183,14.7,85.3,18.3,604.2,168.86,38.33,101.21,24.61,6.12
78,6186,14.9,85.1,18.6,607.4,168.80,36.90,101.10,24.92,5.82
79,6188,15.0,85.0,18.8,604.9,169.66,38.56,101.87,25.37,7.00
80,6190,15.2,84.8,19.0,592.1,169.42,36.07,101.38,25.03,6.47
81,6193,15.4,84.6,19.3,604.0,169.25,38.01,101.30,25.62,7.02
82,6195,15.6,84.4,19.5,603.2,168.35,35.09,100.89,24.52,6.86
83,6198,15.8,84.2,19.8,603.3,169.49,39.02,101.53,25.52,6.10
84,6200,16.0,84.0,20.0,602.4,168.59,39.00,101.09,25.34,6.50
85,6202,16.2,83.8,20.2,614.3,169.07,37.51,101.74,25.09,6.17
86,6205,16.4,83.6,20.5,598.4,169.70,36.75,101.69,24.96,6.22
87,6207,16.6,83.4,20.7,618.8,170.30,36.35,101.85,25.40,7.78
88,6210,16.8,83.2,21.0,607.1,169.30,37.34,101.38,24.57,6.00
89,6212,17.0,83.0,21.2,599.1,169.53,40.17,101.74,26.00,5.82
90,6214,17.1,82.9,21.4,619.2,169.18,34.06,101.19,24.87,6.43
91,6217,17.3,82.7,21.7,620.5,169.12,37.32,100.85,24.26,6.45
92,6219,17.5,82.5,21.9,611.0,169.68,36.98,101.38,25.28,5.79
93,6221,17.7,82.3,22.1,620.2,169.74,36.90,101.23,25.19,6.86
94,6224,17.9,82.1,22.4,611.0,169.89,36.29,100.86,24.88,8.08
95,6226,18.1,81.9,22.6,602.3,170.66,36.65,101.85,24.16,6.32
96,6229,18.3,81.7,22.9,606.1,169.24,38.11,100.59,25.30,6.46
97,6231,18.5,81.5,23.1,606.0,169.41,36.60,100.91,24.48,6.64
98,6233,18.7,81.3,23.3,614.8,169.70,37.98,101.21,25.00,6.77
99,6236,18.9,81.1,23.6,613.4,169.30,38.29,100.64,25.14,5.72
100,6238,19.0,81.0,23.8,617.0,170.55,37.88,101.78,24.95,6.84
101,6240,19.2,80.8,24.0,612.1,170.25,36.80,101.33,24.61,7.45
102,6243,19.4,80.6,24.3,608.1,170.02,36.78,101.23,25.39,7.26
103,6245,19.6,80.4,24.5,611.7,169.92,37.84,100.88,25.07,7.36
104,6248,19.8,80.2,24.8,615.9,170.24,38.81,101.48,25.63,7.06
105,6250,20.0,80.0,25.0,606.8,169.98,37.66,100.99,25.25,6.82
106,6252,20.2,79.8,25.2,620.0,170.31,36.72,101.37,24.46,5.65
107,6255,20.4,79.6,25.5,601.2,170.82,35.82,101.64,24.50,6.68
108,6257,20.6,79.4,25.7,618.8,170.82,36.72,101.37,24.84,6.89
109,6260,20.8,79.2,26.0,626.7,171.04,36.58,101.74,24.66,6.91
110,6262,21.0,79.0,26.2,609.1,170.21,34.53,101.17,24.56,7.01
111,6264,21.1,78.9,26.4,607.2,169.62,37.62,100.81,24.44,6.03
112,6267,21.3,78.7,26.7,610.5,170.73,38.61,101.37,25.22,6.83
113,6269,21.5,78.5,26.9,616.4,170.91,35.50,101.25,24.71,7.51
114,6271,21.7,78.3,27.1,623.7,170.70,38.35,101.14,25.52,6.66
115,6274,21.9,78.1,27.4,612.5,172.19,36.52,102.16,25.34,9.12
116,6276,22.1,77.9,27.6,622.0,170.61,38.86,101.15,25.81,6.02
117,6279,22.3,77.7,27.9,621.0,171.14,36.07,101.52,24.39,6.63
118,6281,22.5,77.5,28.1,629.7,171.09,35.01,101.09,24.53,6.46
